[2023-11-05T16:05:03.721-0800] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: source_extracting_dag.unzip_sales_data_task manual__2023-11-06T00:04:45.694105+00:00 [queued]>
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: source_extracting_dag.unzip_sales_data_task manual__2023-11-06T00:04:45.694105+00:00 [queued]>
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1280} INFO - Starting attempt 1 of 1
[2023-11-05T16:05:03.725-0800] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-11-05T16:05:03.729-0800] {taskinstance.py:1300} INFO - Executing <Task(BashOperator): unzip_sales_data_task> on 2023-11-06 00:04:45.694105+00:00
[2023-11-05T16:05:03.731-0800] {standard_task_runner.py:55} INFO - Started process 91381 to run task
[2023-11-05T16:05:03.734-0800] {standard_task_runner.py:82} INFO - Running: ['airflow', 'tasks', 'run', 'source_extracting_dag', 'unzip_sales_data_task', 'manual__2023-11-06T00:04:45.694105+00:00', '--job-id', '113', '--raw', '--subdir', 'DAGS_FOLDER/source_extract_dag.py', '--cfg-path', '/var/folders/jh/g6c8fm7j3x148qd22mrgmrsw0000gn/T/tmpqh95ss8v']
[2023-11-05T16:05:03.735-0800] {standard_task_runner.py:83} INFO - Job 113: Subtask unzip_sales_data_task
[2023-11-05T16:05:03.757-0800] {task_command.py:388} INFO - Running <TaskInstance: source_extracting_dag.unzip_sales_data_task manual__2023-11-06T00:04:45.694105+00:00 [running]> on host anishs-air.lan
[2023-11-05T16:05:03.774-0800] {taskinstance.py:1507} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=airflow
AIRFLOW_CTX_DAG_ID=source_extracting_dag
AIRFLOW_CTX_TASK_ID=unzip_sales_data_task
AIRFLOW_CTX_EXECUTION_DATE=2023-11-06T00:04:45.694105+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-11-06T00:04:45.694105+00:00
[2023-11-05T16:05:03.775-0800] {subprocess.py:63} INFO - Tmp dir root location: 
 /var/folders/jh/g6c8fm7j3x148qd22mrgmrsw0000gn/T
[2023-11-05T16:05:03.775-0800] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'unzip /Users/anishmore/airflow/data/snowpark-example/end2end-sample-data/3-region-sales-data.zip -d /Users/anishmore/airflow/sources/']
[2023-11-05T16:05:03.778-0800] {subprocess.py:86} INFO - Output:
[2023-11-05T16:05:03.783-0800] {subprocess.py:93} INFO - Archive:  /Users/anishmore/airflow/data/snowpark-example/end2end-sample-data/3-region-sales-data.zip
[2023-11-05T16:05:03.795-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-26
[2023-11-05T16:05:03.795-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-19/
[2023-11-05T16:05:03.796-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-19
[2023-11-05T16:05:03.796-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-21/
[2023-11-05T16:05:03.796-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-21
[2023-11-05T16:05:03.796-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-07/
[2023-11-05T16:05:03.797-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-07
[2023-11-05T16:05:03.797-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-09/
[2023-11-05T16:05:03.797-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-09
[2023-11-05T16:05:03.797-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-31/
[2023-11-05T16:05:03.798-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-31
[2023-11-05T16:05:03.798-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-30/
[2023-11-05T16:05:03.798-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-30
[2023-11-05T16:05:03.798-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-08/
[2023-11-05T16:05:03.799-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-08
[2023-11-05T16:05:03.799-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-01/
[2023-11-05T16:05:03.799-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-01
[2023-11-05T16:05:03.799-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-06/
[2023-11-05T16:05:03.799-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-06
[2023-11-05T16:05:03.800-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-24/
[2023-11-05T16:05:03.800-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-24
[2023-11-05T16:05:03.800-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-23/
[2023-11-05T16:05:03.800-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-23
[2023-11-05T16:05:03.801-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-15/
[2023-11-05T16:05:03.801-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-15
[2023-11-05T16:05:03.801-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-12/
[2023-11-05T16:05:03.801-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-12
[2023-11-05T16:05:03.802-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-13/
[2023-11-05T16:05:03.802-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-13
[2023-11-05T16:05:03.802-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-14/
[2023-11-05T16:05:03.802-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-14
[2023-11-05T16:05:03.803-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-22/
[2023-11-05T16:05:03.803-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-22
[2023-11-05T16:05:03.803-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=US/format=parquet/date=2020-01-25/
[2023-11-05T16:05:03.803-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=US/format=parquet/._date=2020-01-25
[2023-11-05T16:05:03.804-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-03/
[2023-11-05T16:05:03.804-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-03
[2023-11-05T16:05:03.804-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-04/
[2023-11-05T16:05:03.804-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-04
[2023-11-05T16:05:03.805-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-05/
[2023-11-05T16:05:03.805-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-05
[2023-11-05T16:05:03.805-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-02/
[2023-11-05T16:05:03.805-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-02
[2023-11-05T16:05:03.806-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/.DS_Store
[2023-11-05T16:05:03.806-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._.DS_Store
[2023-11-05T16:05:03.806-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-20/
[2023-11-05T16:05:03.806-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-20
[2023-11-05T16:05:03.807-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-27/
[2023-11-05T16:05:03.807-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-27
[2023-11-05T16:05:03.807-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-18/
[2023-11-05T16:05:03.807-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-18
[2023-11-05T16:05:03.807-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-11/
[2023-11-05T16:05:03.808-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-11
[2023-11-05T16:05:03.808-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-16/
[2023-11-05T16:05:03.808-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-16
[2023-11-05T16:05:03.808-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-29/
[2023-11-05T16:05:03.809-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-29
[2023-11-05T16:05:03.809-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-17/
[2023-11-05T16:05:03.809-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-17
[2023-11-05T16:05:03.809-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-28/
[2023-11-05T16:05:03.810-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-28
[2023-11-05T16:05:03.810-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-10/
[2023-11-05T16:05:03.810-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-10
[2023-11-05T16:05:03.810-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-26/
[2023-11-05T16:05:03.810-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-26
[2023-11-05T16:05:03.811-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-19/
[2023-11-05T16:05:03.811-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-19
[2023-11-05T16:05:03.811-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-21/
[2023-11-05T16:05:03.811-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-21
[2023-11-05T16:05:03.811-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-07/
[2023-11-05T16:05:03.812-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-07
[2023-11-05T16:05:03.812-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-09/
[2023-11-05T16:05:03.812-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-09
[2023-11-05T16:05:03.812-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-31/
[2023-11-05T16:05:03.813-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-31
[2023-11-05T16:05:03.813-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-30/
[2023-11-05T16:05:03.813-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-30
[2023-11-05T16:05:03.813-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-08/
[2023-11-05T16:05:03.813-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-08
[2023-11-05T16:05:03.814-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-01/
[2023-11-05T16:05:03.814-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-01
[2023-11-05T16:05:03.814-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-06/
[2023-11-05T16:05:03.814-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-06
[2023-11-05T16:05:03.815-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-24/
[2023-11-05T16:05:03.815-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-24
[2023-11-05T16:05:03.815-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-23/
[2023-11-05T16:05:03.815-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-23
[2023-11-05T16:05:03.816-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-15/
[2023-11-05T16:05:03.816-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-15
[2023-11-05T16:05:03.816-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-12/
[2023-11-05T16:05:03.816-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-12
[2023-11-05T16:05:03.816-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-13/
[2023-11-05T16:05:03.817-0800] {subprocess.py:93} INFO -   inflating: /Users/anishmore/airflow/sources/__MACOSX/sales/source=IN/format=csv/._date=2020-01-13
[2023-11-05T16:05:03.817-0800] {subprocess.py:93} INFO -    creating: /Users/anishmore/airflow/sources/sales/source=IN/format=csv/date=2020-01-14/
