echange_rate_dt,usd2usd,usd2eu,usd2can,usd2uk,usd2inr,usd2jp
2023-03-30,1,1.0926,1.3540,0.8099,82.0848,132.6658
2023-03-29,1,1.0876,1.3588,0.8112,82.3255,132.3684
2023-03-28,1,1.0899,1.3655,0.8112,82.1548,130.6983
2023-03-27,1,1.0909,1.3709,0.8152,82.3050,131.4768
2023-03-26,1,1.0882,1.3789,0.8184,82.4244,130.1536
2023-03-25,1,1.0913,1.3673,0.8137,82.2511,131.3264
2023-03-24,1,1.0828,1.3706,0.8153,82.5962,132.7121
2023-03-23,1,1.0808,1.3666,0.8169,82.6195,132.3589
2023-03-22,1,1.0795,1.3688,0.8170,82.5697,131.3521
2023-03-21,1,1.0776,1.3729,0.8236,82.6386,132.3261
2023-03-20,1,1.0789,1.3747,0.8289,82.8030,132.3077
2023-03-19,1,1.0845,1.3749,0.8270,82.7685,132.2495
2023-03-18,1,1.0974,1.3681,0.8201,82.3610,134.1995
2023-03-17,1,1.0981,1.3773,0.8254,82.2399,132.5985
2023-03-16,1,1.0776,1.3832,0.8337,82.1250,136.6900
2023-03-15,1,1.0649,1.3809,0.8415,82.0746,136.2706
2023-03-14,1,1.0618,1.3750,0.8447,81.9545,137.2214
2023-03-13,1,1.0709,1.3645,0.8342,81.8214,136.1556
2023-03-12,1,1.0703,1.3614,0.8325,81.8566,135.8632
2023-03-11,1,1.0660,1.3601,0.8340,81.8827,136.1752
2023-03-10,1,1.0618,1.3624,0.8372,82.5427,136.7940
2023-03-09,1,1.0687,1.3601,0.8290,82.4455,135.5485
2023-03-08,1,1.0676,1.3571,0.8259,82.6071,136.7643
2023-03-07,1,1.0629,1.3582,0.8345,82.7516,136.3275
2023-03-06,1,1.0679,1.3599,0.8349,82.7668,135.8089
2023-03-05,1,1.0732,1.3532,0.8303,82.5824,135.0038
2023-03-04,1,1.0784,1.3536,0.8262,82.8993,134.5735
2023-03-03,1,1.0823,1.3457,0.8245,82.7865,134.8087
2023-03-02,1,1.0824,1.3460,0.8313,82.7300,134.0547
2023-03-01,1,1.0737,1.3521,0.8366,82.8433,134.7576
2023-02-28,1,1.0838,1.3396,0.8307,82.6705,133.9346
2023-02-27,1,1.0824,1.3417,0.8301,82.8425,133.6916
2023-02-26,1,1.0901,1.3321,0.8191,82.8355,132.1126
2023-02-25,1,1.0850,1.3347,0.8261,82.7204,132.5566
2023-02-24,1,1.0829,1.3437,0.8265,82.5514,130.8513
2023-02-23,1,1.0891,1.3391,0.8218,82.5276,130.7214
2023-02-22,1,1.0864,1.3404,0.8272,82.5282,131.1691
2023-02-21,1,1.0802,1.3431,0.8349,82.7193,132.0561
2023-02-20,1,1.0815,1.3418,0.8285,82.6765,132.1548
2023-02-19,1,1.0949,1.3364,0.8160,81.9164,128.4173
2023-02-18,1,1.0997,1.3289,0.8126,82.1819,128.4310
2023-02-17,1,1.0916,1.3316,0.8116,81.7936,129.7687
2023-02-16,1,1.0798,1.3450,0.8130,81.8204,130.4071
2023-02-15,1,1.0854,1.3328,0.8069,81.5266,130.0468
2023-02-14,1,1.0847,1.3326,0.8089,81.6125,129.8665
2023-02-13,1,1.0893,1.3371,0.8072,81.5287,129.7659
2023-02-12,1,1.0856,1.3370,0.8113,81.5644,129.7757
2023-02-11,1,1.0801,1.3370,0.8139,81.6205,130.2910
2023-02-10,1,1.0857,1.3359,0.8092,81.3651,130.3008
2023-02-09,1,1.0867,1.3470,0.8092,81.1168,130.1127
2023-02-08,1,1.0901,1.3503,0.8104,81.4110,128.5437
2023-02-07,1,1.0942,1.3382,0.8075,81.3193,128.9695
2023-02-06,1,1.0845,1.3416,0.8171,81.6905,128.6544
2023-02-05,1,1.0784,1.3398,0.8209,81.6496,128.4869
2023-02-04,1,1.0759,1.3403,0.8212,81.4648,128.5556
2023-02-03,1,1.0712,1.3404,0.8233,81.4918,130.5329
2023-02-02,1,1.0783,1.3426,0.8251,81.7084,132.6975
2023-02-01,1,1.0823,1.3412,0.8237,81.7896,132.3510
2023-01-31,1,1.0842,1.3369,0.8232,82.3467,132.1522
2023-01-30,1,1.0645,1.3649,0.8426,82.7717,134.5714
2023-01-29,1,1.0774,1.3504,0.8330,82.5163,132.9592
2023-01-28,1,1.0768,1.3551,0.8310,82.8295,130.8991
2023-01-27,1,1.0674,1.3669,0.8350,82.8919,130.8013
2023-01-26,1,1.0820,1.3579,0.8296,82.7726,130.6936
2023-01-25,1,1.0832,1.3538,0.8315,82.6655,131.8770
2023-01-24,1,1.0822,1.3593,0.8315,82.8524,133.5712
2023-01-23,1,1.0788,1.3497,0.8276,82.7954,133.6560
2023-01-22,1,1.0748,1.3539,0.8314,82.9074,133.3584
2023-01-21,1,1.0765,1.3588,0.8288,82.8074,132.6116
2023-01-20,1,1.0793,1.3622,0.8299,82.7955,132.0606
2023-01-19,1,1.0813,1.3609,0.8241,82.8404,131.9011
2023-01-18,1,1.0756,1.3634,0.8258,82.7105,132.6352
2023-01-17,1,1.0722,1.3655,0.8220,82.5930,136.4880
2023-01-16,1,1.0749,1.3660,0.8215,82.7046,137.0468
2023-01-15,1,1.0770,1.3599,0.8115,82.7940,136.5879
2023-01-14,1,1.0795,1.3561,0.8087,82.4899,134.9235
2023-01-13,1,1.0685,1.3600,0.8132,82.7847,137.3637
2023-01-12,1,1.0717,1.3660,0.8143,82.6103,137.1521
2023-01-11,1,1.0713,1.3619,0.8140,82.3501,135.7136
2023-01-10,1,1.0637,1.3601,0.8200,82.3990,136.6575
2023-01-09,1,1.0643,1.3664,0.8207,82.3364,137.1830
2023-01-08,1,1.0652,1.3623,0.8194,82.3968,136.2971
2023-01-07,1,1.0702,1.3411,0.8131,81.7275,135.1374
2023-01-06,1,1.0716,1.3437,0.8147,81.2711,134.1051
2023-01-05,1,1.0594,1.3448,0.8199,81.2445,136.2923
2023-01-04,1,1.0530,1.3513,0.8335,81.3623,139.0517
2023-01-03,1,1.0511,1.3511,0.8317,81.6658,138.2983
2023-01-02,1,1.0599,1.3440,0.8277,81.6563,138.4880
2023-01-01,1,1.0548,1.3363,0.8278,81.6525,139.3928
